cut,color,clarity,city,carat,depth,table,x,y,z,price
3,6,5,2,1.21,62.4,58.0,6.83,6.79,4.25,4268
4,4,5,3,0.32,63.0,57.0,4.35,4.38,2.75,505
0,3,4,4,0.71,65.5,55.0,5.62,5.53,3.65,2686
1,0,2,3,0.41,63.8,56.0,4.68,4.72,3.0,738
2,3,2,2,1.02,60.5,59.0,6.55,6.51,3.95,4882
2,2,3,11,1.52,61.2,57.0,7.45,7.39,4.54,9057
0,4,5,0,1.01,65.2,56.0,6.23,6.19,4.05,3733
2,6,4,3,1.52,62.3,58.0,7.32,7.35,4.57,8608
2,4,4,12,0.31,61.8,54.2,4.33,4.37,2.69,557
2,3,2,1,1.14,61.7,56.0,6.71,6.75,4.15,6741
3,1,2,4,0.44,62.3,59.0,4.88,4.84,3.03,1040
3,5,2,11,1.02,58.0,58.0,6.84,6.6,3.9,4284
2,5,3,7,0.93,62.3,57.0,6.2,6.22,3.87,3101
3,3,4,9,1.51,60.1,58.0,7.48,7.45,4.49,14507
2,4,3,10,1.65,61.6,55.0,7.58,7.62,4.68,10349
1,3,3,9,1.5,57.5,63.0,7.53,7.49,4.32,6006
2,0,4,0,0.43,62.1,56.0,4.85,4.87,3.02,1207
3,3,5,10,0.38,60.8,61.0,4.66,4.65,2.83,983
2,5,4,6,0.85,61.9,56.0,6.08,6.1,3.77,3548
3,0,3,11,1.53,60.7,60.0,7.45,7.41,4.51,11078
3,4,5,3,1.54,61.0,60.0,7.46,7.42,4.54,11177
3,3,3,5,0.71,62.0,59.0,5.69,5.65,3.52,1740
4,3,4,12,0.3,61.7,56.0,4.29,4.33,2.66,605
2,3,1,0,1.3,61.3,56.0,7.03,7.06,4.32,12932
3,3,2,7,0.3,62.9,59.0,4.28,4.24,2.68,574
2,5,3,5,1.0,61.7,56.0,6.45,6.41,3.97,2873
3,3,5,1,1.0,61.6,54.0,6.49,6.46,3.99,6216
3,0,2,8,0.9,61.7,56.0,6.16,6.09,3.78,3568
4,4,2,1,1.55,63.2,57.0,7.35,7.31,4.64,7066
3,4,3,1,1.01,61.1,60.0,6.46,6.41,3.93,3054
3,3,3,11,1.16,62.5,58.0,6.72,6.68,4.19,4969
2,4,6,0,0.35,62.0,53.9,4.5,4.53,2.8,743
2,4,6,12,0.97,60.4,57.0,6.4,6.48,3.89,6801
2,1,3,10,1.19,60.2,57.0,6.84,6.87,4.13,5717
4,4,4,3,0.7,62.1,56.0,5.65,5.68,3.52,2422
4,4,2,3,0.8,63.2,54.0,5.93,5.88,3.73,2553
3,5,3,2,2.0,61.3,59.0,8.13,8.09,4.97,14208
4,1,5,1,0.71,63.5,59.0,5.68,5.59,3.58,2858
3,2,2,12,1.0,60.3,58.0,6.47,6.43,3.89,5292
2,1,3,10,0.5,62.4,57.0,5.07,5.03,3.15,1240
2,3,7,3,0.51,61.3,57.0,5.12,5.15,3.15,1875
3,3,3,3,1.04,62.2,59.0,6.57,6.49,4.06,3861
